id,nazwa,status,ludnosc_zasila,szpitale_zalezne,czas_naprawy_min,ryzyko,dependent_na,notatki,ostatnia_aktualizacja
PS-01,Podstacja Główna Centrum,USZKODZONA,45000,0,120,NISKIE,BRAK,"Uszkodzony transformator główny, wymaga wymiany",17:58
PS-02,Podstacja Mokotów Zachód,SPRAWNA,28000,2,15,NISKIE,PS-01,"Można restart, ale zależy od PS-01",18:02
PS-03,Podstacja Wilanów,USZKODZONA,33000,1,180,WYSOKIE,BRAK,"Podejrzenie sabotażu - logika bomba?",17:55
PS-04,Podstacja Ursynów Północ,SPRAWNA,52000,3,20,NISKIE,BRAK,"Gotowa do restart, priorytet CRITICAL",18:00
PS-05,Podstacja Służewiec,USZKODZONA,41000,0,90,ŚREDNIE,PS-01,"Częściowe uszkodzenie, możliwa szybka naprawa",18:05
PS-06,Podstacja Ochota,SPRAWNA,38000,1,25,NISKIE,BRAK,"Sprawna, wymaga tylko restart procedury",17:59
PS-07,Podstacja Wola Centralna,USZKODZONA,47000,2,150,WYSOKIE,BRAK,"Poważne uszkodzenia, długa naprawa",18:03
PS-08,Podstacja Praga Północ,RYZYKO,55000,3,30,KRYTYCZNE,BRAK,"!!! LOGIKA-BOMBA POTWIERDZONA - 50% szans na sukces !!!",18:01
PS-09,Podstacja Targówek,SPRAWNA,29000,0,15,NISKIE,PS-08,"Zależy od PS-08, ale sama sprawna",18:04
PS-10,Podstacja Białołęka,USZKODZONA,35000,1,60,ŚREDNIE,BRAK,"Uszkodzenie średnie, naprawialne w 1h",17:57
PS-11,Podstacja Bielany Zachód,SPRAWNA,31000,2,20,NISKIE,BRAK,"Gotowa do restart",18:02
PS-12,Podstacja Żoliborz,USZKODZONA,27000,1,45,WYSOKIE,BRAK,"Można szybko naprawić BEZ testów - ryzyko pożaru 20%",18:06
PS-13,Podstacja Bemowo,SPRAWNA,42000,0,25,NISKIE,BRAK,"Sprawna, standard restart",17:58
PS-14,Podstacja Włochy,USZKODZONA,38000,1,120,ŚREDNIE,BRAK,"Długa naprawa, wymiana części",18:01
PS-15,Podstacja Ursus,USZKODZONA,44000,2,240,NISKIE,BRAK,"Bardzo długa naprawa ale pewna - bez ryzyka",18:03
PS-16,Podstacja Rembertów,SPRAWNA,22000,0,15,NISKIE,BRAK,"Sprawna, priorytet niski (bez szpitali)",17:59
PS-17,Podstacja Wawer,USZKODZONA,26000,1,75,ŚREDNIE,BRAK,"Naprawa średnia, wymaga spawania",18:04
PS-18,Podstacja Wesoła,SPRAWNA,18000,0,20,NISKIE,BRAK,"Sprawna, mała podstacja",18:00
PS-19,Podstacja Wilanów Wschód,USZKODZONA,31000,1,90,ŚREDNIE,PS-03,"Zależy od PS-03, wymaga synchronizacji",18:05
PS-20,Podstacja Kabaty,USZKODZONA,29000,2,60,WYSOKIE,BRAK,"Szybka naprawa RYZYKOWNA - lub 180 min bezpieczna",17:56
PS-21,Podstacja Natolin,SPRAWNA,35000,1,15,NISKIE,BRAK,"Gotowa do restart, zasila Szpital Południowy",18:02
PS-22,Podstacja Stegny,USZKODZONA,27000,0,100,ŚREDNIE,BRAK,"Naprawa standardowa",18:01
PS-23,Podstacja Sadyba,SPRAWNA,24000,1,20,NISKIE,PS-01,"Zależy od PS-01",17:58
PS-24,Podstacja Saska Kępa,USZKODZONA,32000,0,110,ŚREDNIE,BRAK,"Uszkodzenie transformatora",18:03
